Town,County,Per capita income,Location,Lat,Lon
"Newton Township, Pennsylvania",Monroe County,"$21,199 ","Newton Run, Middle Smithfield Township, Monroe County, Pennsylvania, 18335, USA",41.0635663,-75.1178904
"Hamilton Township, Franklin County, Pennsylvania",Monroe County,"$21,122 ","Hamilton Township, Monroe County, Pennsylvania, USA",40.9349636,-75.28568143
"Upper Mount Bethel Township, Pennsylvania",Northampton County,"$21,116 ","Upper Mount Bethel Township, Northampton County, Pennsylvania, 18343, USA",40.8977034,-75.15458066
"Fairless Hills, Pennsylvania",Bucks County,"$21,111 ","Fairless Hills, Trenton Road, Middletown Township, Bucks County, Pennsylvania, 19030-4005, USA",40.178142,-74.85644459
"Lower Mount Bethel Township, Pennsylvania",Northampton County,"$21,088 ","Lower Mount Bethel Township, Northampton County, Pennsylvania, 18063, USA",40.80227095,-75.15681236
"Stockertown, Pennsylvania",Northampton County,"$20,984 ","Stockertown, Northampton County, Pennsylvania, 18083, USA",40.754456,-75.2615618
"New Britain, Pennsylvania",Bucks County,"$20,877 ","New Britain, Bucks County, Pennsylvania, 18901-6005, USA",40.297588,-75.18756286
"Trumbauersville, Pennsylvania",Bucks County,"$20,778 ","Trumbauersville, Bucks County, Pennsylvania, 18970, USA",40.4106569,-75.3782339
"Tobyhanna Township, Pennsylvania",Monroe County,"$20,726 ","Tobyhanna Township, Monroe County, Pennsylvania, USA",41.11824155,-75.52623653
"Plainfield Township, Pennsylvania",Northampton County,"$20,639 ","Plainfield Township, Northampton County, Pennsylvania, 18072, USA",40.8156704,-75.26202355
"Alburtis, Pennsylvania",Lehigh County,"$20,611 ","Alburtis, Lehigh County, Pennsylvania, USA",40.5109297,-75.6029653
"Mountainhome, Pennsylvania",Monroe County,"$20,580 ","Mountainhome, Monroe County, Pennsylvania, 18342, USA",41.1737016,-75.271015
"Quakertown, Pennsylvania",Bucks County,"$20,562 ","Quakertown, Bucks County, Pennsylvania, USA",40.4417682,-75.3415667
"Hanover Township, Lehigh County, Pennsylvania",Lehigh County,"$20,265 ","Hanover Township, Lehigh County, Pennsylvania, USA",40.65140085,-75.44066264
"Middle Smithfield Township, Pennsylvania",Monroe County,"$20,235 ","Middle Smithfield Township, Monroe County, Pennsylvania, USA",41.09124545,-75.11176214
"Hellertown, Pennsylvania",Northampton County,"$20,119 ","Hellertown, Northampton County, Pennsylvania, USA",40.58168445,-75.33606128
"Polk Township, Monroe County, Pennsylvania",Monroe County,"$20,090 ","Polk Township, Monroe County, Pennsylvania, USA",40.9338015,-75.50709847
"East Bangor, Pennsylvania",Northampton County,"$20,056 ","East Bangor, Northampton County, Pennsylvania, USA",40.8795404,-75.1837895
"Levittown, Pennsylvania",Bucks County,"$20,047 ","Levittown, Haines Road, Bristol Township, Bucks County, Pennsylvania, 19055, USA",40.1573365,-74.83227963
"Chestnuthill Township, Pennsylvania",Monroe County,"$20,017 ","Chestnuthill Township, Monroe County, Pennsylvania, USA",40.95714215,-75.41988064
"Ross Township, Monroe County, Pennsylvania",Monroe County,"$20,002 ","Ross Township, Monroe County, Pennsylvania, USA",40.87577215,-75.35863227
"Washington Township, Lehigh County, Pennsylvania",Lehigh County,"$19,980 ","Washington Township, Lehigh County, Pennsylvania, USA",40.7171855,-75.62967049
"Sellersville, Pennsylvania",Bucks County,"$19,970 ","Sellersville, Bucks County, Pennsylvania, 18960, USA",40.3542858,-75.3050079
"Hokendauqua, Pennsylvania",Lehigh County,"$19,771 ","Hokendauqua, Ironton Rail Trail, Whitehall, Lehigh County, Pennsylvania, 18052, USA",40.658685,-75.49608274
"Croydon, Pennsylvania",Bucks County,"$19,751 ","Croydon, Maryland Avenue, Bristol Township, Bucks County, Pennsylvania, 19021, USA",40.0894885,-74.89808049
"Northampton, Pennsylvania",Northampton County,"$19,516 ","Northampton County, Pennsylvania, United States of America",40.7451356,-75.3289302
"North Catasauqua, Pennsylvania",Northampton County,"$19,424 ","North Catasauqua, Northampton County, Pennsylvania, USA",40.659819,-75.4768496
"Highland Park, Pennsylvania",Bucks County,"$19,422 ","Highland Park, Bucks County, Pennsylvania, 18960, USA",40.3467706,-75.3007314
"Main Township, Pennsylvania",Bucks County,"$19,357 ","Main, Red Square, Middletown Township, Bucks County, Pennsylvania, United States of America",40.2134635,-74.9351214
"Richlandtown, Pennsylvania",Bucks County,"$19,322 ","Richlandtown, Bucks County, Pennsylvania, 18955, USA",40.4701013,-75.3204554
"Price Township, Pennsylvania",Monroe County,"$19,244 ","Price Township, Monroe County, Pennsylvania, USA",41.1306319,-75.21645785
