Town,County,Population,Location,Lat,Lon
"Ambler, Pennsylvania",Montgomery County,"6,417","Ambler, Montgomery County, Pennsylvania, USA",40.1545535,-75.2215651
"South Williamsport, Pennsylvania",Lycoming County,"6,379","South Williamsport, Lycoming County, Pennsylvania, USA",41.2320232,-76.9991341
"Red Lion, Pennsylvania",York County,"6,373","Red Lion, York County, Pennsylvania, 17356, USA",39.9009334,-76.6058001
"Linglestown, Pennsylvania",Dauphin County,"6,334","Linglestown, Dauphin County, Pennsylvania, 17112, USA",40.342313,-76.7911743
"Arlington Heights, Pennsylvania",Monroe County,"6,333","Arlington Heights, Monroe County, Pennsylvania, USA",40.9900938,-75.2162923
"Oakmont, Pennsylvania",Allegheny County,"6,303","Oakmont, Allegheny County, Pennsylvania, 15139, USA",40.5217347,-79.8422719
"Somerset, Pennsylvania",Somerset County,"6,277","Somerset County, Pennsylvania, USA",39.9980022,-79.0415528
"Taylor, Pennsylvania",Lackawanna County,"6,263","Taylor, Lackawanna County, Pennsylvania, 18517, USA",41.3840712,-75.709405
"Clearfield, Pennsylvania",Clearfield County,"6,215","Clearfield County, Pennsylvania, United States of America",40.9908706,-78.4457422
"Swarthmore, Pennsylvania",Delaware County,"6,194","Swarthmore, Delaware County, Pennsylvania, 19081, USA",39.9020565,-75.3499124
"Lionville, Pennsylvania",Chester County,"6,189","Lionville-Marchwood, Biddle Drive, Uwchlan Township, Chester County, Pennsylvania, 19341, United States of America",40.0519885,-75.6453058
"Bellefonte, Pennsylvania",Centre County,"6,187","Bellefonte, Centre County, Pennsylvania, United States of America",40.9134862,-77.7737471
"Plymouth Meeting, Pennsylvania",Montgomery County,"6,177","Plymouth Meeting, 1-Mile footpath, Whitemarsh Township, Montgomery County, Pennsylvania, 19444, USA",40.1105915,-75.28448701
"Enola, Pennsylvania",Cumberland County,"6,111","Enola, Cumberland County, Pennsylvania, USA",40.2853013,-76.93584634
"McKees Rocks, Pennsylvania",Allegheny County,"6,104","McKees Rocks, Allegheny County, Pennsylvania, 151363, USA",40.4656244,-80.0656106
"Kennett Square, Pennsylvania",Chester County,"6,072","Kennett Square, Chester County, Pennsylvania, USA",39.8467243,-75.7115932
"Dickson City, Pennsylvania",Lackawanna County,"6,070","Dickson City, Lackawanna County, Pennsylvania, 18519, USA",41.4714693,-75.607688
"Blue Bell, Pennsylvania",Montgomery County,"6,067","Blue Bell, Montgomery County, Pennsylvania, 19422, USA",40.152331,-75.266289
"New Brighton, Pennsylvania",Beaver County,"6,025","New Brighton, Beaver County, Pennsylvania, USA",40.7303534,-80.3100513
"Steelton, Pennsylvania",Dauphin County,"5,990","Steelton, Dauphin County, Pennsylvania, USA",40.2353679,-76.8413613
"Punxsutawney, Pennsylvania",Jefferson County,"5,962","Punxsutawney, Jefferson County, Pennsylvania, 15767, USA",40.9436303,-78.971078
"Crafton, Pennsylvania",Allegheny County,"5,951","Crafton, Allegheny County, Pennsylvania, 15205, USA",40.435069,-80.066166
"Plymouth, Pennsylvania",Luzerne County,"5,951","Plymouth, Luzerne County, Pennsylvania, 18651, USA",41.2403596,-75.9446428
"Greenville, Pennsylvania",Mercer County,"5,919","Greenville, Mercer County, Pennsylvania, USA",41.404499,-80.3911785
"Hellertown, Pennsylvania",Northampton County,"5,898","Hellertown, Northampton County, Pennsylvania, USA",40.58168445,-75.33606128
"Mount Carmel, Pennsylvania",Northumberland County,"5,893","Mount Carmel, Northumberland County, Pennsylvania, 17851, USA",40.7968393,-76.4131097
"Norwood, Pennsylvania",Delaware County,"5,890","Norwood, Delaware County, Pennsylvania, 19074, USA",39.8917793,-75.2996309
"Wescosville, Pennsylvania",Lehigh County,"5,872","Wescosville, Lehigh County, Pennsylvania, 18106, USA",40.5667635,-75.5529632
"Lewisburg, Pennsylvania",Union County,"5,792","Lewisburg, Union County, Pennsylvania, USA",40.9645293,-76.8844101
"Hollidaysburg, Pennsylvania",Blair County,"5,791","Hollidaysburg, Blair County, Pennsylvania, United States of America",40.430774,-78.3900826
"Nazareth, Pennsylvania",Northampton County,"5,746","Nazareth, Northampton County, Pennsylvania, USA",40.7423309,-75.3112095
"Trooper, Pennsylvania",Montgomery County,"5,744","Trooper, Rose Avenue, West Norriton, West Norriton Township, Montgomery County, Pennsylvania, 19403, USA",40.148387,-75.39638435
"Monaca, Pennsylvania",Beaver County,"5,737","Monaca, Beaver County, Pennsylvania, USA",40.6872885,-80.2714505
"Moosic, Pennsylvania",Lackawanna County,"5,719","Moosic, Lackawanna County, Pennsylvania, 18507, USA",41.353413,-75.7382478
"Penn Wynne, Pennsylvania",Montgomery County,"5,697","Penn Wynne, Weymouth Road, Wynnewood, Lower Merion Township, Montgomery County, Pennsylvania, 19096, USA",39.9861455,-75.27044895
"Sharon Hill, Pennsylvania",Delaware County,"5,697","Sharon Hill, Delaware County, Pennsylvania, 19079, USA",39.9063027,-75.2721402
"Oreland, Pennsylvania",Montgomery County,"5,678","Oreland, Lindley Road, Cheltenham Township, Montgomery County, Pennsylvania, 19038, USA",40.115489,-75.1811616
"Coraopolis, Pennsylvania",Allegheny County,"5,677","Coraopolis, Allegheny County, Pennsylvania, 15108, USA",40.5184013,-80.1667247
"Selinsgrove, Pennsylvania",Snyder County,"5,654","Selinsgrove, Snyder County, Pennsylvania, USA",40.8062437,-76.8607084
"Exeter, Pennsylvania",Luzerne County,"5,652","Exeter, Luzerne County, Pennsylvania, 18643, USA",41.3206358,-75.8190835
"Titusville, Pennsylvania",Crawford County,"5,601","Titusville, Crawford County, Pennsylvania, USA",41.624468,-79.669652
"Sayre, Pennsylvania",Bradford County,"5,587","Sayre, Bradford County, Pennsylvania, 18840, USA",41.9789631,-76.515499
"Paoli, Pennsylvania",Chester County,"5,575","Paoli, Vanguard Boulevard, Tredyffrin Township, Chester County, Pennsylvania, 19301, USA",40.040739,-75.49284449
"Stroudsburg, Pennsylvania",Monroe County,"5,567","Stroudsburg, Monroe County, Pennsylvania, 18360, USA",40.9867609,-75.1946248
"Duquesne, Pennsylvania",Allegheny County,"5,565","Duquesne, Allegheny County, Pennsylvania, 15110, USA",40.3814581,-79.8597708
"Lehighton, Pennsylvania",Carbon County,"5,500","Lehighton, Carbon County, Pennsylvania, USA",40.8339907,-75.7135568
"Wyndmoor, Pennsylvania",Montgomery County,"5,498","Wyndmoor, Elliston Drive, Wyndmoor, Springfield Township, Montgomery County, Pennsylvania, 19038, USA",40.0853435,-75.19402071
"Shippensburg, Pennsylvania",Cumberland County,"5,492","Shippensburg, Cumberland County, Pennsylvania, 17257, USA",40.0562262,-77.5139074
"Tyrone, Pennsylvania",Blair County,"5,477","Tyrone, Blair County, Pennsylvania, United States of America",40.6705508,-78.2383479
"Fort Washington, Pennsylvania",Montgomery County,"5,446","Fort Washington, Limekiln Pike, Upper Dublin Township, Montgomery County, Pennsylvania, 19025, USA",40.14785315,-75.18972428
"Schuylkill Haven, Pennsylvania",Schuylkill County,"5,437","Schuylkill Haven, Schuylkill County, Pennsylvania, 17972, USA",40.6306464,-76.171054
"Palmerton, Pennsylvania",Carbon County,"5,414","Palmerton, Carbon County, Pennsylvania, USA",40.8014826,-75.6101868
"Paxtonia, Pennsylvania",Dauphin County,"5,412","Paxtonia, Dauphin County, Pennsylvania, USA",40.317311,-76.7944156
"Fox Chapel, Pennsylvania",Allegheny County,"5,388","Fox Chapel, Allegheny County, Pennsylvania, 15238, USA",40.522924,-79.8913193
"New Holland, Pennsylvania",Lancaster County,"5,378","New Holland, Lancaster County, Pennsylvania, 17557, USA",40.1017643,-76.085227
"Turtle Creek, Pennsylvania",Allegheny County,"5,349","Turtle Creek, Allegheny County, Pennsylvania, 15145, USA",40.405926,-79.8250534
"Media, Pennsylvania",Delaware County,"5,327","Media, Delaware County, Pennsylvania, USA",39.9167783,-75.387693
"Sugarcreek, Pennsylvania",Venango County,"5,294","Sugarcreek, Venango County, Pennsylvania, 16343, USA",41.4214458,-79.8811672
"Clarion, Pennsylvania",Clarion County,"5,276","Clarion County, Pennsylvania, USA",41.1818771,-79.429169
"Bangor, Pennsylvania",Northampton County,"5,273","Bangor, Northampton County, Pennsylvania, USA",40.8656515,-75.2065677
