Town,Per capita income,Location,Lat,Lon,County
"Eatontown, New Jersey","$26,965 ","Eatontown, Monmouth County, New Jersey, 07724, USA",40.2962222,-74.0509725,Monmouth County
"Garwood, New Jersey","$26,944 ","Garwood, Union County, New Jersey, 07027, USA",40.6517692,-74.3229264,Union County
"Bordentown Township, New Jersey","$26,934 ","Bordentown Township, Burlington County, New Jersey, 08505, USA",40.1486895,-74.69121585,Burlington County
"Hackensack, New Jersey","$26,856 ","Hackensack, Bergen County, New Jersey, 07601, USA",40.8859326,-74.0434736,Bergen County
"Echelon, New Jersey","$26,850 ","Echelon, Camden County, New Jersey, 08043-2343, USA",39.8484472,-74.9957231,Camden County
"Old Bridge Township, New Jersey","$26,814 ","Old Bridge Township, Middlesex County, New Jersey, 08857, USA",40.404546,-74.30996712,Middlesex County
"Pompton Lakes, New Jersey","$26,802 ","Pompton Lakes, Passaic County, New Jersey, USA",41.0053753,-74.2907042,Passaic County
"Iselin, New Jersey","$26,793 ","Iselin, Middlesex County, New Jersey, 08830, USA",40.5753817,-74.3223703,Middlesex County
"Wanamassa, New Jersey","$26,759 ","Wanamassa, Monmouth County, New Jersey, 07712, USA",40.2317793,-74.0254156,Monmouth County
"Dover Beaches South, New Jersey","$26,702 ","Dover Beaches South, Coolidge Avenue, Toms River, Ocean County, New Jersey, 08751, USA",39.9524265,-74.0754947,Ocean County
"Hopatcong, New Jersey","$26,698 ","Hopatcong, Sussex County, New Jersey, USA",40.9332051,-74.6600975,Sussex County
"Helmetta, New Jersey","$26,668 ","Helmetta, Middlesex County, New Jersey, 08828, USA",40.3767741,-74.4245953,Middlesex County
"Surf City, New Jersey","$26,632 ","Surf City, Ocean County, New Jersey, United States of America",39.6587349,-74.168292,Ocean County
"Westampton Township, New Jersey","$26,594 ","Friends Academy School of Westampton, Bridge Street, Willingboro Township, Burlington County, New Jersey, 08073, USA",40.0060418,-74.8670223,Burlington County
"Totowa, New Jersey","$26,561 ","Totowa, Passaic County, New Jersey, 07512, USA",40.9050988,-74.2098679,Passaic County
"Mansfield Township, Burlington County, New Jersey","$26,559 ","Mansfield Township, Burlington County, New Jersey, 08022, USA",40.089326,-74.71308221,Burlington County
"Hawthorne, New Jersey","$26,551 ","Hawthorne, Passaic County, New Jersey, USA",40.9492649,-74.1537549,Passaic County
"Dunellen, New Jersey","$26,529 ","Dunellen, Middlesex County, New Jersey, USA",40.5892696,-74.4718201,Middlesex County
"Twin Rivers, New Jersey","$26,501 ","Twin Rivers, Mercer County, New Jersey, 18520, USA",40.2639987,-74.4912635,Mercer County
"Rockaway, New Jersey","$26,500 ","Rockaway, Morris County, New Jersey, USA",40.9012101,-74.5143232,Morris County
"Dumont, New Jersey","$26,489 ","Dumont, Bergen County, New Jersey, 07628, USA",40.9406541,-73.9968051,Bergen County
"Pine Beach, New Jersey","$26,487 ","Pine Beach, Ocean County, New Jersey, 08741, USA",39.9359515,-74.1709735,Ocean County
"Raritan, New Jersey","$26,420 ","Raritan, Somerset County, New Jersey, 08869, USA",40.5695474,-74.6329363,Somerset County
"Old Bridge, New Jersey","$26,395 ","Old Bridge, Maple Street, Southwood, Old Bridge Township, Middlesex County, New Jersey, 08857, USA",40.399178,-74.34090357,Middlesex County
"Bloomsbury, New Jersey","$26,392 ","Bloomsbury, Hunterdon County, New Jersey, USA",40.6539892,-75.0865619,Hunterdon County
"Piscataway Township, New Jersey","$26,321 ","Piscataway Township, Middlesex County, New Jersey, USA",40.551683,-74.47481907,Middlesex County
"Red Bank, New Jersey","$26,265 ","Red Bank, Monmouth County, New Jersey, USA",40.3470543,-74.0643065,Monmouth County
"Ocean Grove, New Jersey","$26,232 ","Ocean Grove, Monmouth County, New Jersey, 07756, USA",40.2120575,-74.0065258,Monmouth County
"Howell Township, New Jersey","$26,143 ","Howell Township, Monmouth County, New Jersey, USA",40.1797105,-74.20419352,Monmouth County
"Woodland Township, New Jersey","$26,126 ","Woodland Township, Burlington County, New Jersey, 08019, USA",39.842075,-74.52305759,Burlington County
"Bloomfield, New Jersey","$26,049 ","Bloomfield, Essex County, New Jersey, 07003, USA",40.806767,-74.1854226,Essex County
"Gibbsboro, New Jersey","$26,035 ","Gibbsboro, Camden County, New Jersey, USA",39.8381698,-74.9648887,Camden County
"Lyndhurst, New Jersey","$25,940 ","Lyndhurst, Bergen County, New Jersey, USA",40.8120247,-74.1242816,Bergen County
"Fords, New Jersey","$25,917 ","Fords, Hoover Avenue, Edison, Middlesex County, New Jersey, 08837, USA",40.5411231,-74.31652441,Middlesex County
"Andover, New Jersey","$25,914 ","Andover, Sussex County, New Jersey, USA",40.9859311,-74.7421089,Sussex County
"Bordentown, New Jersey","$25,882 ","Bordentown, Burlington County, New Jersey, 08505, USA",40.1462213,-74.7118264,Burlington County
"Lumberton Township, New Jersey","$25,789 ","Lumberton Township, Burlington County, New Jersey, 08048, USA",39.9597485,-74.79695719,Burlington County
"Harmony Township, New Jersey","$25,776 ","Harmony, Monmouth County, New Jersey, 07748, USA",40.418997,-74.1243085,Monmouth County
"Point Pleasant, New Jersey","$25,715 ","Point Pleasant, Ocean County, New Jersey, 08742, USA",40.0831714,-74.0681931,Ocean County
"Stockton, New Jersey","$25,712 ","Stockton, Hunterdon County, New Jersey, 08559:18938, USA",40.407883,-74.9782238,Hunterdon County
"Washington Township, Gloucester County, New Jersey","$25,705 ","WVSJ-AM (Washington Township), Hurffville Road, Fairview, Gloucester County, New Jersey, 08096, United States of America",39.7898362,-75.1026739,Gloucester County
"Forked River, New Jersey","$25,696 ","Forked River, Ocean County, New Jersey, 08731, USA",39.8398413,-74.1901399,Ocean County
"West Cape May, New Jersey","$25,663 ","West Cape May, Cape May County, New Jersey, USA",38.9387236,-74.9418404,Cape May County
"Haddon Township, New Jersey","$25,610 ","Haddon Township, Camden County, New Jersey, USA",39.907642,-75.05526392,Camden County
"Merchantville, New Jersey","$25,589 ","Merchantville, Camden County, New Jersey, 08109, USA",39.951634,-75.04876271,Camden County
"Ridgefield, New Jersey","$25,558 ","Ridgefield, Bergen County, New Jersey, USA",40.8342669,-74.0087505,Bergen County
"Bogota, New Jersey","$25,505 ","Bogota, Bergen County, New Jersey, 07603, USA",40.8762106,-74.0298621,Bergen County
"White Horse, New Jersey","$25,480 ","White Horse, Mercer County, New Jersey, 08610, USA",40.1906652,-74.7023816,Mercer County
"Hamilton Township, Mercer County, New Jersey","$25,441 ","Hamilton Township, Mercer County, New Jersey, USA",40.2041625,-74.67932439,Mercer County
"Bradley Beach, New Jersey","$25,438 ","Bradley Beach, Monmouth County, New Jersey, 07720, USA",40.2023355,-74.0120814,Monmouth County
"Belford, New Jersey","$25,412 ","Belford, Monmouth County, New Jersey, 07718, USA",40.4259414,-74.0868075,Monmouth County
"Wanaque, New Jersey","$25,403 ","Wanaque, Passaic County, New Jersey, USA",41.0381526,-74.2940378,Passaic County
"Stafford Township, New Jersey","$25,397 ","Stafford Township, Ocean County, New Jersey, 08050, USA",39.7066225,-74.25271857,Ocean County
"Yardville-Groveville, New Jersey","$25,391 ","Yardville-Groveville, Kingston Boulevard, Hamilton Township, Mercer County, New Jersey, 08561, USA",40.179909,-74.67031871,Mercer County
"Erlton-Ellisburg, New Jersey","$25,357 ","Erlton-Ellisburg, SR 70, Cherry Hill Township, Camden County, New Jersey, 08034, United States of America",39.9128005,-75.01464047,Camden County
"Hampton Township, New Jersey","$25,353 ","Hampton, Tabernacle Township, Burlington County, New Jersey, USA",39.831828,-74.652916,Burlington County
"Delran Township, New Jersey","$25,312 ","Delran Township, Burlington County, New Jersey, USA",40.0179845,-74.94348457,Burlington County
"South Plainfield, New Jersey","$25,270 ","South Plainfield, Middlesex County, New Jersey, 07080, USA",40.5792701,-74.4115401,Middlesex County
"Hazlet Township, New Jersey","$25,262 ","Hazlet Township, Monmouth County, New Jersey, 07730, USA",40.4267925,-74.1633147,Monmouth County
"Vernon Township, New Jersey","$25,250 ","Vernon Township Fire Department, Main Street, Vernon Valley Plaza, Vernon, Sussex County, New Jersey, 07462, USA",41.19747035,-74.48505604,Sussex County
"Spotswood, New Jersey","$25,247 ","Spotswood, Middlesex County, New Jersey, 08884, USA",40.391774,-74.3984834,Middlesex County
"Wharton, New Jersey","$25,168 ","Wharton, Morris County, New Jersey, USA",40.8931546,-74.5818254,Morris County
"Marlton, New Jersey","$25,145 ","Marlton, Burlington County, New Jersey, 08053-2171, USA",39.8912248,-74.9218325,Burlington County
"Woodbridge Township, New Jersey","$25,087 ","Woodbridge Township, Middlesex County, New Jersey, USA",40.5498525,-74.28741855,Middlesex County
"Woodbridge, New Jersey","$25,087 ","Woodbridge, Rutherford Avenue, Bridgeton Apartments, Woodbridge Township, Middlesex County, New Jersey, 07095, United States of America",40.55418,-74.28600077,Middlesex County
"Northfield, New Jersey","$25,059 ","Northfield, Atlantic County, New Jersey, 08225, USA",39.3703942,-74.5501546,Atlantic County
"Rochelle Park, New Jersey","$25,054 ","Rochelle Park, Bergen County, New Jersey, 07662, USA",40.9092993,-74.0733086,Bergen County
