Town,County,Per capita income,Location,Lat,Lon
"Doylestown Township, Bucks County, Pennsylvania",Bucks County,"$38,031 ","Doylestown Township, Bucks County, Pennsylvania, USA",40.30116125,-75.10312799
"Upper Dublin Township, Montgomery County, Pennsylvania",Montgomery County,"$37,994 ","Upper Dublin Township, Montgomery County, Pennsylvania, USA",40.1499916,-75.17477064
"Churchill, Allegheny County, Pennsylvania",Allegheny County,"$37,964 ","Churchill, Allegheny County, Pennsylvania, 15145:15235, USA",40.438402,-79.8431042
"Franklin Park, Allegheny County, Pennsylvania",Allegheny County,"$37,924 ","Franklin Park, Allegheny County, Pennsylvania, 2573, USA",40.5834009,-80.0878352
"East Goshen Township, Chester County, Pennsylvania",Chester County,"$37,775 ","East Goshen Township, Chester County, Pennsylvania, USA",39.9948527,-75.55061884
"Chester Heights, Delaware County, Pennsylvania",Delaware County,"$37,707 ","Chester Heights, Delaware County, Pennsylvania, 19017, USA",39.8901112,-75.4754766
"McMurray, Washington County, Pennsylvania",Washington County,"$37,364 ","McMurray, Peters Township, Washington County, Pennsylvania, USA",40.2791485,-80.08863202
"Wyomissing, Berks County, Pennsylvania",Berks County,"$37,313 ","Wyomissing, Berks County, Pennsylvania, 19610, USA",40.329537,-75.9652117
"Heath Township, Jefferson County, Pennsylvania",Jefferson County,"$37,309 ","Heath Township, Jefferson County, Pennsylvania, USA",41.337197,-79.01539273
"Aleppo Township, Allegheny County, Pennsylvania",Allegheny County,"$37,187 ","Aleppo Township, Allegheny County, Pennsylvania, USA",40.5300735,-80.1452732
"Westtown Township, Chester County, Pennsylvania",Chester County,"$36,894 ","Westtown Township, Chester County, Pennsylvania, USA",39.9418848,-75.55606417
"Thompsonville, Washington County, Pennsylvania",Washington County,"$36,853 ","Thompsonville, Peters Township, Washington County, Pennsylvania, USA",40.28073,-80.1238088
"Flying Hills, Berks County, Pennsylvania",Berks County,"$36,822 ","Flying Hills, Cumru Township, Berks County, Pennsylvania, USA",40.2765172,-75.91615085
"Newlin Township, Chester County, Pennsylvania",Chester County,"$36,804 ","Newlin Township, Chester County, Pennsylvania, USA",39.92901265,-75.737972
"Wyndmoor, Montgomery County, Pennsylvania",Montgomery County,"$36,205 ","Wyndmoor, Elliston Drive, Wyndmoor, Springfield Township, Montgomery County, Pennsylvania, 19038, USA",40.0853435,-75.19402071
"Peters Township, Washington County, Pennsylvania",Washington County,"$36,159 ","Peters Township, Washington County, Pennsylvania, USA",40.277602,-80.08565557
"Ardmore, Montgomery County, Pennsylvania",Montgomery County,"$36,111 ","Ardmore, Montgomery County, Pennsylvania, 19003, USA",40.0067786,-75.2854622
"Clarks Green, Lackawanna County, Pennsylvania",Lackawanna County,"$35,975 ","Clarks Green, Lackawanna County, Pennsylvania, USA",41.4981069,-75.6956172
"London Britain Township, Chester County, Pennsylvania",Chester County,"$35,761 ","London Britain Township, Chester County, Pennsylvania, 19350, USA",39.75258315,-75.78381064
"Buckingham Township, Bucks County, Pennsylvania",Bucks County,"$35,735 ","Buckingham Township, Bucks County, Pennsylvania, USA",40.3165463,-75.04691929
"Devon-Berwyn, Chester County, Pennsylvania",Chester County,"$35,551 ","Devon-Berwyn, Lakeside Court, Easttown Township, Chester County, Pennsylvania, 19333, USA",40.04441095,-75.43284786
"Malvern, Chester County, Pennsylvania",Chester County,"$35,477 ","Malvern, Chester County, Pennsylvania, USA",40.036202,-75.5138959
"Pine Township, Allegheny County, Pennsylvania",Allegheny County,"$35,202 ","Pine Township, Allegheny County, Pennsylvania, 15090, USA",40.64428,-80.0317994
"Narberth, Montgomery County, Pennsylvania",Montgomery County,"$35,165 ","Narberth, Montgomery County, Pennsylvania, USA",40.0084456,-75.26046
"West Whiteland Township, Chester County, Pennsylvania",Chester County,"$35,031 ","West Whiteland Township, Chester County, Pennsylvania, USA",40.02425075,-75.62432877
